year,personal_consumption,gross_private_domestic_inv,net_trade,gov_consumption_and_gross_inv
1950,4.2,5.68,-1.28,0.11
1951,1,0.05,0.79,6.22
1952,1.9,-1.44,-0.57,4.18
1953,2.85,0.87,-0.68,1.65
1954,1.25,-0.61,0.39,-1.6
1955,4.5,3.44,-0.04,-0.78
1956,1.77,-0.05,0.36,0.05
1957,1.49,-0.64,0.24,1.01
1958,0.52,-1.16,-0.87,0.77
1959,3.49,2.82,0,0.59
1960,1.67,0.06,0.7,0.14
1961,1.26,0.05,0.05,1.19
1962,3,1.82,-0.21,1.5
1963,2.47,1.08,0.23,0.57
1964,3.56,1.27,0.35,0.58
1965,3.79,2.26,-0.29,0.74
1966,3.37,1.56,-0.28,1.94
1967,1.76,-0.62,-0.21,1.82
1968,3.38,0.99,-0.29,0.83
1969,2.21,0.93,-0.03,0.04
1970,1.39,-1.03,0.33,-0.49
1971,2.29,1.63,-0.18,-0.44
1972,3.67,1.9,-0.19,-0.11
1973,2.97,1.95,0.79,-0.07
1974,-0.5,-1.24,0.73,0.49
1975,1.36,-2.9,0.86,0.49
1976,3.41,2.91,-1.05,0.12
1977,2.59,2.47,-0.7,0.26
1978,2.69,2.21,0.04,0.61
1979,1.44,0.71,0.64,0.38
1980,-0.19,-2.07,1.64,0.38
1981,0.91,1.63,-0.15,0.2
1982,0.86,-2.55,-0.59,0.38
1983,3.54,1.6,-1.32,0.81
1984,3.32,4.73,-1.54,0.76
1985,3.25,-0.01,-0.39,1.38
1986,2.63,0.03,-0.29,1.14
1987,2.14,0.53,0.17,0.63
1988,2.66,0.45,0.81,0.28
1989,1.86,0.72,0.51,0.59
1990,1.31,-0.45,0.4,0.66
1991,0.15,-1.09,0.62,0.25
1992,2.38,1.11,-0.04,0.11
1993,2.24,1.23,-0.56,-0.17
1994,2.52,1.9,-0.4,0.02
1995,1.94,0.55,0.12,0.1
1996,2.28,1.49,-0.15,0.18
1997,2.45,2,-0.31,0.35
1998,3.45,1.76,-1.13,0.38
1999,3.44,1.6,-0.97,0.61
2000,3.32,1.25,-0.82,0.34
2001,1.71,-1.19,-0.22,0.67
2002,1.72,-0.11,-0.64,0.81
2003,2.1,0.71,-0.42,0.42
2004,2.59,1.55,-0.66,0.31
2005,2.36,1.2,-0.34,0.12
2006,2.04,0.42,-0.08,0.29
2007,1.5,-0.61,0.58,0.3
2008,-0.23,-1.71,1.11,0.54
2009,-1.08,-3.52,1.19,0.64
2010,1.32,1.66,-0.46,0.02
2011,1.55,0.73,-0.02,-0.65
2012,1.01,1.52,0.08,-0.38
2013,1,0.95,0.29,-0.56
2014,1.95,0.9,-0.16,-0.12
2015,2.47,0.87,-0.73,0.25
2016,1.86,-0.28,-0.23,0.13
2017,1.89,0.54,-0.18,0.02
